     t        m      T
  201.00   -6.17  189.07
  202.00   -6.04  189.49
  203.00   -6.08  188.49
  204.00   -6.04  189.81
  205.00   -6.08  189.55
  206.00   -6.10  188.52
  207.00   -6.05  189.42
  208.00   -6.20  191.32
  209.00   -6.22  188.52
  210.00   -6.06  189.65
  211.00   -6.12  188.72
  212.00   -5.97  187.27
  213.00   -6.05  187.81
  214.00   -6.12  188.39
  215.00   -6.16  189.52
  216.00   -6.04  188.72
  217.00   -6.05  189.30
  218.00   -6.16  188.72
  219.00   -5.95  191.74
  220.00   -6.07  190.13
  221.00   -6.15  190.84
  222.00   -6.24  190.17
  223.00   -6.15  190.75
  224.00   -6.35  189.46
  225.00   -6.27  189.75
  226.00   -6.20  190.13
  227.00   -6.20  190.17
  228.00   -6.17  189.97
  229.00   -6.24  190.55
  230.00   -6.08  189.17
  231.00   -6.09  188.56
  232.00   -6.17  189.97
  233.00   -6.21  189.33
  234.00   -6.14  189.71
  235.00   -6.20  189.88
  236.00   -6.21  188.52
  237.00   -6.02  188.56
  238.00   -6.04  189.26
  239.00   -6.21  188.72
  240.00   -6.24  188.59
  241.00   -6.27  191.36
  242.00   -6.17  189.68
  243.00   -6.19  189.88
  244.00   -6.28  188.36
  245.00   -6.31  189.30
  246.00   -6.10  188.81
  247.00   -6.31  187.17
  248.00   -6.28  188.59
  249.00   -6.24  188.17
  250.00   -6.09  187.81
  251.00   -6.07  189.26
  252.00   -6.20  189.04
  253.00   -6.21  187.56
  254.00   -6.25  187.52
  255.00   -6.15  189.07
  256.00   -6.11  188.62
  257.00   -6.07  188.88
  258.00   -6.17  188.07
  259.00   -6.10  188.43
  260.00   -6.09  189.62
  261.00   -6.16  187.88
  262.00   -6.19  187.49
  263.00   -6.29  189.26
  264.00   -6.20  189.13
  265.00   -6.22  189.52
  266.00   -6.09  188.30
  267.00   -6.21  190.04
  268.00   -6.12  188.68
  269.00   -6.18  186.72
  270.00   -6.24  186.94
  271.00   -6.23  187.78
  272.00   -6.26  188.56
  273.00   -6.22  188.52
  274.00   -6.23  189.23
  275.00   -6.06  188.56
  276.00   -6.14  188.43
  277.00   -6.12  187.23
  278.00   -6.15  188.49
  279.00   -6.30  188.43
  280.00   -6.30  188.39
  281.00   -6.15  188.65
  282.00   -6.21  190.62
  283.00   -6.25  189.20
  284.00   -6.04  189.13
  285.00   -6.18  188.78
  286.00   -6.16  188.88
  287.00   -6.18  188.59
  288.00   -6.18  189.75
  289.00   -6.29  188.10
  290.00   -6.14  188.36
  291.00   -6.13  189.49
  292.00   -6.31  189.52
  293.00   -6.11  189.91
  294.00   -6.24  188.14
  295.00   -6.19  190.55
  296.00   -6.07  189.13
  297.00   -6.26  189.55
  298.00   -6.01  188.85
  299.00   -6.03  189.75
  300.00   -6.12  189.62
  301.00   -6.21  189.52
  302.00   -6.21  189.07
  303.00   -6.20  188.62
  304.00   -6.12  190.07
  305.00   -6.04  189.30
  306.00   -6.21  188.75
  307.00   -6.12  188.94
  308.00   -6.07  189.52
  309.00   -6.32  190.58
  310.00   -6.11  190.36
  311.00   -6.21  190.33
  312.00   -6.18  189.59
  313.00   -6.24  189.78
  314.00   -6.15  190.10
  315.00   -6.15  189.52
  316.00   -6.09  189.49
  317.00   -6.21  187.98
  318.00   -6.12  189.91
  319.00   -6.20  189.17
  320.00   -6.11  188.36
  321.00   -6.23  190.42
  322.00   -6.21  189.01
  323.00   -6.09  189.39
  324.00   -6.14  190.46
  325.00   -6.22  191.00
  326.00   -6.24  189.78
  327.00   -6.04  190.29
  328.00   -6.30  191.58
  329.00   -6.21  189.26
  330.00   -6.14  189.81
  331.00   -6.19  189.13
  332.00   -6.23  190.39
  333.00   -6.07  190.33
  334.00   -6.11  189.65
  335.00   -6.14  190.20
  336.00   -6.09  189.71
  337.00   -6.18  189.23
  338.00   -6.04  190.55
  339.00   -6.24  189.10
  340.00   -6.19  190.00
  341.00   -6.15  190.13
  342.00   -6.06  188.81
  343.00   -6.16  189.10
  344.00   -6.12  189.39
  345.00   -6.15  189.88
  346.00   -6.22  192.32
  347.00   -6.19  190.94
  348.00   -6.11  189.20
  349.00   -6.18  190.58
  350.00   -6.17  189.39
  351.00   -6.09  189.71
  352.00   -6.17  190.00
  353.00   -6.10  189.94
  354.00   -6.12  188.20
  355.00   -5.99  189.78
  356.00   -6.13  191.20
  357.00   -6.12  190.26
  358.00   -6.10  190.58
  359.00   -6.17  189.88
  360.00   -6.07  190.94
  361.00   -6.19  188.56
  362.00   -6.16  191.94
  363.00   -6.22  189.84
  364.00   -6.25  190.39
  365.00   -6.09  189.65
  366.00   -6.17  190.04
  367.00   -6.18  190.49
  368.00   -6.08  190.81
  369.00   -6.07  190.23
  370.00   -6.10  189.39
  371.00   -6.18  190.13
  372.00   -6.18  190.04
  373.00   -6.29  190.26
  374.00   -6.29  191.16
  375.00   -6.17  189.75
  376.00   -6.21  189.07
  377.00   -6.27  189.20
  378.00   -6.15  190.52
  379.00   -6.15  190.78
  380.00   -6.19  187.91
  381.00   -6.07  189.30
  382.00   -6.09  190.13
  383.00   -6.13  189.30
  384.00   -6.22  189.07
  385.00   -6.11  187.72
  386.00   -6.24  189.30
  387.00   -6.36  189.39
  388.00   -6.31  190.26
  389.00   -6.14  189.84
  390.00   -6.13  189.23
  391.00   -6.14  188.78
  392.00   -6.26  190.36
  393.00   -6.16  190.23
  394.00   -6.09  189.91
  395.00   -6.23  189.20
  396.00   -6.18  189.52
  397.00   -6.13  191.29
  398.00   -6.27  188.36
  399.00   -6.08  189.20
  400.00   -6.24  190.04
  401.00   -6.29  190.13
  402.00   -6.19  189.78
  403.00   -6.17  190.17
  404.00   -6.14  190.29
  405.00   -6.18  189.42
  406.00   -6.21  189.75
  407.00   -6.24  190.68
  408.00   -6.20  190.55
  409.00   -6.18  188.27
  410.00   -6.24  188.65
  411.00   -6.09  189.91
  412.00   -6.15  188.81
  413.00   -6.09  191.00
  414.00   -6.12  189.71
  415.00   -6.10  189.17
  416.00   -6.04  189.68
  417.00   -6.12  190.36
  418.00   -6.13  189.65
  419.00   -6.14  189.68
  420.00   -6.17  190.68
  421.00   -6.18  188.72
  422.00   -6.16  190.20
  423.00   -6.21  187.46
  424.00   -6.04  190.17
  425.00   -6.17  189.81
  426.00   -6.06  189.78
  427.00   -5.97  191.10
  428.00   -6.14  191.23
  429.00   -6.21  190.29
  430.00   -6.07  189.91
  431.00   -6.03  188.33
  432.00   -6.04  189.30
  433.00   -6.10  189.84
  434.00   -6.20  191.52
  435.00   -6.05  190.20
  436.00   -6.10  190.58
  437.00   -6.05  189.59
  438.00   -6.01  191.00
  439.00   -6.10  189.13
  440.00   -6.11  189.65
  441.00   -6.07  191.65
  442.00   -6.09  190.00
  443.00   -6.11  190.36
  444.00   -6.09  190.10
  445.00   -6.29  191.49
  446.00   -6.23  189.78
  447.00   -6.18  190.17
  448.00   -6.13  190.00
  449.00   -6.10  190.65
  450.00   -6.20  188.65
  451.00   -6.08  189.97
  452.00   -6.07  189.20
  453.00   -6.12  189.91
  454.00   -6.09  189.36
  455.00   -6.07  189.65
  456.00   -6.12  190.17
  457.00   -6.23  191.55
  458.00   -6.20  189.30
  459.00   -6.12  189.65
  460.00   -6.12  190.13
  461.00   -6.19  189.59
  462.00   -6.14  188.91
  463.00   -6.35  190.91
  464.00   -6.09  189.04
  465.00   -6.11  189.75
  466.00   -6.26  188.94
  467.00   -6.20  188.33
  468.00   -6.23  190.10
  469.00   -6.19  190.42
  470.00   -6.13  189.30
  471.00   -6.22  190.29
  472.00   -6.19  189.97
  473.00   -6.12  189.49
  474.00   -6.15  189.55
  475.00   -6.17  189.42
  476.00   -6.12  189.71
  477.00   -6.12  190.13
  478.00   -6.09  190.39
  479.00   -6.04  189.39
  480.00   -6.07  190.71
  481.00   -6.19  189.07
  482.00   -6.14  189.62
  483.00   -6.27  190.46
  484.00   -6.25  190.58
  485.00   -6.12  191.16
  486.00   -6.03  190.07
  487.00   -6.13  190.97
  488.00   -6.14  190.65
  489.00   -6.17  190.17
  490.00   -6.22  190.00
  491.00   -6.16  190.46
  492.00   -6.14  190.52
  493.00   -6.09  189.20
  494.00   -6.11  190.42
  495.00   -6.16  189.78
  496.00   -6.16  190.36
  497.00   -6.14  189.52
  498.00   -6.03  190.94
  499.00   -6.28  189.71
  500.00   -6.10  190.75
  501.00   -6.04  190.81
  502.00   -6.16  190.81
  503.00   -6.12  191.97
  504.00   -6.11  190.07
  505.00   -6.19  189.20
  506.00   -6.24  190.33
  507.00   -6.12  191.16
  508.00   -6.17  190.91
  509.00   -6.22  191.32
  510.00   -6.06  189.62
  511.00   -6.16  189.62
  512.00   -6.10  188.39
  513.00   -6.08  191.26
  514.00   -6.16  189.81
  515.00   -6.13  190.23
  516.00   -6.10  190.17
  517.00   -6.21  190.00
  518.00   -6.15  190.33
  519.00   -6.08  191.32
  520.00   -6.09  189.33
  521.00   -6.15  191.65
  522.00   -6.40  190.91
  523.00   -6.18  189.78
  524.00   -6.19  191.45
  525.00   -6.27  188.65
  526.00   -6.12  189.26
  527.00   -6.04  189.49
  528.00   -6.11  189.07
  529.00   -6.12  189.46
  530.00   -5.98  190.23
  531.00   -6.11  190.91
  532.00   -6.15  191.04
  533.00   -6.20  191.55
  534.00   -6.15  190.52
  535.00   -6.15  189.42
  536.00   -6.19  191.90
  537.00   -6.10  191.61
  538.00   -6.00  188.33
  539.00   -6.20  191.36
  540.00   -6.15  191.71
  541.00   -6.22  189.68
  542.00   -6.16  190.46
  543.00   -6.16  190.04
  544.00   -6.15  190.68
  545.00   -6.08  190.23
  546.00   -6.14  190.81
  547.00   -6.07  191.20
  548.00   -6.08  191.65
  549.00   -5.98  190.46
  550.00   -6.11  191.07
  551.00   -6.10  190.29
  552.00   -6.06  191.23
  553.00   -5.96  190.17
  554.00   -6.15  189.71
  555.00   -6.05  188.56
  556.00   -6.14  190.17
  557.00   -6.07  190.55
  558.00   -6.03  190.62
  559.00   -6.07  190.36
  560.00   -6.05  191.94
  561.00   -6.11  189.97
  562.00   -6.22  190.10
  563.00   -6.05  190.39
  564.00   -6.13  189.20
  565.00   -6.20  189.55
  566.00   -6.11  190.39
  567.00   -6.22  190.52
  568.00   -6.14  188.52
  569.00   -6.10  190.55
  570.00   -6.02  191.94
  571.00   -6.17  189.52
  572.00   -6.06  189.84
  573.00   -6.22  190.81
  574.00   -6.15  191.13
  575.00   -6.07  189.75
  576.00   -5.99  190.39
  577.00   -6.17  189.49
  578.00   -6.07  190.62
  579.00   -6.21  189.78
  580.00   -6.00  189.33
  581.00   -6.24  192.13
  582.00   -6.02  192.07
  583.00   -6.10  189.65
  584.00   -6.04  190.78
  585.00   -6.16  190.87
  586.00   -6.09  190.94
  587.00   -5.99  191.16
  588.00   -6.11  189.26
  589.00   -6.12  190.36
  590.00   -6.22  191.65
  591.00   -6.07  189.78
  592.00   -6.15  189.59
  593.00   -6.19  190.42
  594.00   -6.02  190.84
  595.00   -6.08  189.23
  596.00   -6.06  189.13
  597.00   -6.22  189.59
  598.00   -6.18  189.20
  599.00   -6.15  190.42
  600.00   -6.22  188.78
  601.00   -6.18  190.17
  602.00   -6.23  190.46
  603.00   -6.14  190.04
  604.00   -6.08  190.42
  605.00   -6.24  190.33
  606.00   -6.06  189.39
  607.00   -6.21  189.17
  608.00   -6.09  190.87
  609.00   -6.01  191.61
  610.00   -6.26  189.39
  611.00   -6.18  190.97
  612.00   -6.19  189.52
  613.00   -6.15  189.17
  614.00   -6.13  190.36
  615.00   -6.28  191.20
  616.00   -6.16  190.29
  617.00   -6.15  191.00
  618.00   -6.19  191.00
  619.00   -6.12  191.32
  620.00   -6.20  189.91
  621.00   -6.12  190.20
  622.00   -6.12  189.13
  623.00   -6.12  189.52
  624.00   -6.20  189.26
  625.00   -6.09  189.59
  626.00   -6.13  190.52
  627.00   -6.18  191.36
  628.00   -6.00  191.45
  629.00   -6.19  189.75
  630.00   -6.25  189.94
  631.00   -6.08  188.14
  632.00   -6.10  189.23
  633.00   -6.19  190.55
  634.00   -6.02  190.13
  635.00   -6.05  190.65
  636.00   -6.21  189.26
  637.00   -6.07  189.10
  638.00   -6.16  190.20
  639.00   -6.11  188.97
  640.00   -6.12  190.36
  641.00   -6.07  189.10
  642.00   -6.09  189.39
  643.00   -6.12  189.62
  644.00   -6.18  189.20
  645.00   -6.12  189.78
  646.00   -6.22  190.20
  647.00   -6.23  189.84
  648.00   -6.18  191.52
  649.00   -6.12  190.23
  650.00   -6.17  190.23
  651.00   -6.17  190.94
  652.00   -6.19  189.97
  653.00   -6.23  190.75
  654.00   -6.13  190.20
  655.00   -6.13  190.49
  656.00   -6.11  191.13
  657.00   -6.16  190.97
  658.00   -6.21  192.19
  659.00   -6.07  190.68
  660.00   -6.22  188.97
  661.00   -6.09  191.55
  662.00   -6.14  191.90
  663.00   -6.22  190.00
  664.00   -6.12  189.78
  665.00   -6.11  190.23
  666.00   -6.15  191.55
  667.00   -6.19  190.07
  668.00   -6.15  189.91
  669.00   -6.22  189.23
  670.00   -6.06  189.07
  671.00   -6.11  190.26
  672.00   -6.12  190.49
  673.00   -6.06  190.84
  674.00   -6.09  190.26
  675.00   -6.08  189.88
  676.00   -6.10  190.23
  677.00   -6.12  189.71
  678.00   -5.97  192.32
  679.00   -6.03  189.20
  680.00   -6.09  189.71
  681.00   -6.06  189.88
  682.00   -6.14  189.30
  683.00   -6.19  190.42
  684.00   -6.10  190.49
  685.00   -6.04  190.68
  686.00   -6.13  191.04
  687.00   -6.12  191.23
  688.00   -6.12  188.97
  689.00   -6.09  189.42
  690.00   -6.20  189.13
  691.00   -6.14  188.75
  692.00   -6.18  192.19
  693.00   -6.21  189.55
  694.00   -6.16  189.71
  695.00   -6.06  190.84
  696.00   -5.97  190.94
  697.00   -6.19  188.62
  698.00   -6.07  190.20
  699.00   -6.18  189.94
  700.00   -6.03  190.52
  701.00   -6.15  189.39
  702.00   -6.07  192.39
  703.00   -6.19  190.91
  704.00   -6.11  189.17
  705.00   -6.21  190.36
  706.00   -6.07  189.04
  707.00   -6.09  189.33
  708.00   -6.11  190.33
  709.00   -6.14  190.84
  710.00   -6.06  190.42
  711.00   -6.18  188.97
  712.00   -6.10  189.49
  713.00   -6.05  189.04
  714.00   -6.11  190.71
  715.00   -6.16  189.94
  716.00   -6.17  188.88
  717.00   -6.12  189.13
  718.00   -6.05  189.78
  719.00   -6.09  189.81
  720.00   -6.09  190.00
  721.00   -6.23  188.59
  722.00   -6.11  190.36
  723.00   -6.15  189.97
  724.00   -6.14  189.26
  725.00   -6.13  189.91
  726.00   -6.19  192.07
  727.00   -6.10  188.52
  728.00   -6.10  189.36
  729.00   -6.16  189.26
  730.00   -6.15  190.13
  731.00   -6.12  190.65
  732.00   -6.14  189.49
  733.00   -6.12  190.68
  734.00   -6.15  189.97
  735.00   -6.19  190.46
  736.00   -6.13  188.65
  737.00   -6.06  189.49
  738.00   -6.06  191.32
  739.00   -6.17  189.75
  740.00   -6.09  190.20
  741.00   -6.08  188.78
  742.00   -6.12  190.33
  743.00   -6.12  189.52
  744.00   -6.18  189.71
  745.00   -6.18  191.36
  746.00   -6.11  190.20
  747.00   -6.03  190.78
  748.00   -6.15  190.29
  749.00   -6.04  190.91
  750.00   -6.16  189.84
  751.00   -6.10  190.49
  752.00   -6.14  190.20
  753.00   -5.99  190.00
  754.00   -6.07  190.00
  755.00   -6.24  188.94
  756.00   -6.06  189.78
  757.00   -6.06  189.88
  758.00   -6.10  189.75
  759.00   -6.15  190.65
  760.00   -6.12  190.42
  761.00   -6.05  190.71
  762.00   -6.13  189.97
  763.00   -6.08  190.46
  764.00   -5.99  189.78
  765.00   -6.06  189.23
  766.00   -6.18  190.78
  767.00   -6.05  190.78
  768.00   -6.13  188.97
  769.00   -6.27  190.33
  770.00   -6.17  189.42
  771.00   -6.12  190.29
  772.00   -6.11  191.29
  773.00   -6.15  190.39
  774.00   -5.99  190.68
  775.00   -6.02  190.65
  776.00   -6.07  189.20
  777.00   -6.13  191.10
  778.00   -6.24  190.23
  779.00   -6.14  188.01
  780.00   -6.09  190.75
  781.00   -6.09  189.30
  782.00   -6.08  190.23
  783.00   -6.11  190.04
  784.00   -6.12  190.94
  785.00   -6.24  188.94
  786.00   -6.15  189.68
  787.00   -6.15  189.13
  788.00   -6.12  190.04
  789.00   -6.11  189.39
  790.00   -6.11  190.94
  791.00   -6.14  190.26
  792.00   -6.11  190.65
  793.00   -6.13  189.68
  794.00   -6.13  190.33
  795.00   -6.20  189.52
  796.00   -6.13  190.62
  797.00   -6.05  189.71
  798.00   -6.06  191.26
  799.00   -6.09  188.62
  800.00   -6.10  191.26
  801.00   -6.06  190.10
  802.00   -6.00  191.61
  803.00   -6.10  189.65
  804.00   -6.11  191.49
  805.00   -6.02  189.88
  806.00   -6.08  190.39
  807.00   -6.14  190.97
  808.00   -6.09  191.20
  809.00   -6.17  189.65
  810.00   -6.14  189.07
  811.00   -6.14  190.55
  812.00   -6.19  188.46
  813.00   -6.08  190.49
  814.00   -6.02  189.46
  815.00   -6.11  189.30
  816.00   -6.11  189.91
  817.00   -6.05  190.07
  818.00   -6.20  191.36
  819.00   -6.14  189.75
  820.00   -6.17  189.36
  821.00   -6.16  192.13
  822.00   -6.29  190.55
  823.00   -6.15  188.97
  824.00   -6.18  189.94
  825.00   -6.05  191.32
  826.00   -6.13  189.55
  827.00   -6.11  191.13
  828.00   -6.10  190.39
  829.00   -6.06  189.26
  830.00   -6.08  191.00
  831.00   -6.14  189.07
  832.00   -6.03  190.23
  833.00   -6.05  190.94
  834.00   -6.06  191.81
  835.00   -6.19  189.30
  836.00   -6.05  189.65
  837.00   -6.13  189.88
  838.00   -6.12  187.91
  839.00   -6.13  189.81
  840.00   -6.11  190.52
  841.00   -6.13  189.46
  842.00   -6.02  190.20
  843.00   -6.03  189.46
  844.00   -6.09  190.17
  845.00   -6.03  191.65
  846.00   -6.09  191.13
  847.00   -6.14  190.26
  848.00   -6.14  190.13
  849.00   -6.20  190.49
  850.00   -6.02  189.39
  851.00   -6.14  188.52
  852.00   -6.07  191.10
  853.00   -6.14  189.75
  854.00   -6.20  189.55
  855.00   -6.20  190.55
  856.00   -6.17  190.36
  857.00   -6.28  190.20
  858.00   -6.17  188.33
  859.00   -6.26  190.36
  860.00   -6.23  189.75
  861.00   -6.01  188.91
  862.00   -6.19  191.81
  863.00   -6.12  190.84
  864.00   -6.05  191.36
  865.00   -6.24  190.36
  866.00   -6.09  189.68
  867.00   -6.09  190.62
  868.00   -6.08  191.26
  869.00   -6.11  191.58
  870.00   -6.18  189.23
  871.00   -6.17  190.00
  872.00   -6.04  191.20
  873.00   -6.11  190.46
  874.00   -6.11  189.30
  875.00   -6.15  190.55
  876.00   -6.10  190.97
  877.00   -6.10  190.81
  878.00   -6.14  189.01
  879.00   -6.26  189.84
  880.00   -6.03  190.39
  881.00   -6.02  188.20
  882.00   -6.10  191.04
  883.00   -5.99  189.91
  884.00   -6.05  189.68
  885.00   -6.00  191.13
  886.00   -6.05  188.20
  887.00   -6.08  190.10
  888.00   -6.02  190.87
  889.00   -6.03  190.46
  890.00   -6.10  190.97
  891.00   -5.97  189.42
  892.00   -6.05  189.26
  893.00   -6.05  188.91
  894.00   -6.07  190.71
  895.00   -6.10  190.49
  896.00   -6.11  190.49
  897.00   -6.21  190.17
  898.00   -6.06  190.84
  899.00   -6.16  189.75
  900.00   -6.07  190.20
  901.00   -6.04  189.20
  902.00   -5.99  189.65
  903.00   -6.04  192.00
  904.00   -5.99  191.87
  905.00   -6.18  187.72
  906.00   -5.93  190.42
  907.00   -6.20  189.49
  908.00   -6.20  188.94
  909.00   -6.18  189.33
  910.00   -6.16  191.39
  911.00   -6.24  190.55
  912.00   -6.18  189.68
  913.00   -6.02  190.36
  914.00   -6.18  189.17
  915.00   -6.30  189.94
  916.00   -6.14  190.52
  917.00   -6.07  190.07
  918.00   -6.14  189.17
  919.00   -6.19  189.97
  920.00   -6.13  191.61
  921.00   -6.01  190.00
  922.00   -6.10  187.49
  923.00   -6.06  188.56
  924.00   -6.11  189.91
  925.00   -5.96  189.39
  926.00   -6.18  190.65
  927.00   -6.16  191.26
  928.00   -6.11  189.81
  929.00   -6.06  191.00
  930.00   -6.15  190.17
  931.00   -6.09  189.55
  932.00   -6.20  189.71
  933.00   -6.15  189.81
  934.00   -6.06  189.13
  935.00   -6.09  190.78
  936.00   -6.14  190.65
  937.00   -6.03  189.84
  938.00   -6.05  189.04
  939.00   -6.01  190.71
  940.00   -6.12  190.13
  941.00   -6.08  189.65
  942.00   -5.95  189.68
  943.00   -5.91  188.85
  944.00   -6.04  189.36
  945.00   -6.04  191.00
  946.00   -6.12  191.16
  947.00   -6.16  190.46
  948.00   -6.02  189.84
  949.00   -6.10  191.84
  950.00   -6.01  187.65
  951.00   -6.14  189.81
  952.00   -6.14  192.23
  953.00   -6.06  190.07
  954.00   -5.99  189.20
  955.00   -5.96  189.52
  956.00   -6.00  189.33
  957.00   -6.02  190.91
  958.00   -6.05  189.36
  959.00   -5.92  188.52
  960.00   -6.00  190.10
  961.00   -6.09  188.91
  962.00   -6.01  189.78
  963.00   -5.95  189.52
  964.00   -6.05  191.13
  965.00   -6.05  190.78
  966.00   -6.17  189.30
  967.00   -5.96  190.75
  968.00   -6.10  189.68
  969.00   -6.01  190.00
  970.00   -6.09  191.55
  971.00   -5.93  190.07
  972.00   -6.06  189.97
  973.00   -6.10  190.04
  974.00   -6.02  189.75
  975.00   -6.08  188.97
  976.00   -6.04  191.07
  977.00   -6.04  191.10
  978.00   -5.91  191.10
  979.00   -6.00  190.10
  980.00   -6.06  191.13
  981.00   -6.05  189.30
  982.00   -5.96  189.91
  983.00   -6.07  187.56
  984.00   -6.05  189.42
  985.00   -6.01  190.07
  986.00   -6.03  189.88
  987.00   -5.97  190.23
  988.00   -6.01  191.00
  989.00   -6.18  190.87
  990.00   -6.09  189.39
  991.00   -6.11  190.23
  992.00   -6.16  190.00
  993.00   -6.06  188.78
  994.00   -6.05  188.97
  995.00   -6.10  190.65
  996.00   -6.14  190.00
  997.00   -6.21  191.71
  998.00   -6.07  190.23
