    t       m      T
  387.00   -5.68  190.68
  388.00   -5.58  190.04
  389.00   -5.65  190.33
  390.00   -5.52  189.13
  391.00   -5.56  190.42
  392.00   -5.60  191.87
  393.00   -5.62  192.74
  394.00   -5.61  190.33
  395.00   -5.67  191.26
  396.00   -5.56  191.58
  397.00   -5.58  190.49
  398.00   -5.64  191.55
  399.00   -5.53  189.65
  400.00   -5.67  190.23
  401.00   -5.63  190.78
  402.00   -5.61  192.48
  403.00   -5.48  188.68
  404.00   -5.73  189.94
  405.00   -5.75  190.17
  406.00   -5.53  189.75
  407.00   -5.70  190.62
  408.00   -5.62  188.78
  409.00   -5.55  189.97
  410.00   -5.57  190.84
  411.00   -5.69  188.75
  412.00   -5.68  188.14
  413.00   -5.54  189.97
  414.00   -5.63  189.04
  415.00   -5.81  189.59
  416.00   -5.61  188.72
  417.00   -5.68  189.39
  418.00   -5.58  191.71
  419.00   -5.70  191.13
  420.00   -5.59  190.71
  421.00   -5.57  190.33
  422.00   -5.57  190.42
  423.00   -5.70  191.04
  424.00   -5.63  189.26
  425.00   -5.55  190.55
  426.00   -5.53  189.97
  427.00   -5.74  190.97
  428.00   -5.63  188.39
  429.00   -5.66  190.17
  430.00   -5.63  189.04
  431.00   -5.60  190.00
  432.00   -5.64  191.13
  433.00   -5.57  190.13
  434.00   -5.69  191.65
  435.00   -5.58  190.52
  436.00   -5.76  191.00
  437.00   -5.58  191.04
  438.00   -5.72  190.10
  439.00   -5.66  188.43
  440.00   -5.71  190.78
  441.00   -5.61  189.33
  442.00   -5.58  188.91
  443.00   -5.65  190.13
  444.00   -5.75  189.97
  445.00   -5.83  191.94
  446.00   -5.81  191.13
  447.00   -5.70  187.52
  448.00   -5.72  189.07
  449.00   -5.68  190.26
  450.00   -5.70  188.20
  451.00   -5.70  190.58
  452.00   -5.71  190.52
  453.00   -5.75  191.74
  454.00   -5.74  190.68
  455.00   -5.67  188.81
  456.00   -5.77  189.52
  457.00   -5.72  191.00
  458.00   -5.70  189.04
  459.00   -5.79  190.78
  460.00   -5.69  190.39
  461.00   -5.71  189.04
  462.00   -5.71  189.75
  463.00   -5.74  190.26
  464.00   -5.75  188.88
  465.00   -5.63  190.62
  466.00   -5.81  191.45
  467.00   -5.59  190.75
  468.00   -5.73  189.10
  469.00   -5.63  189.94
  470.00   -5.78  189.04
  471.00   -5.67  190.65
  472.00   -5.75  188.81
  473.00   -5.60  189.01
  474.00   -5.58  190.97
  475.00   -5.60  190.39
  476.00   -5.68  190.94
  477.00   -5.58  190.65
  478.00   -5.56  191.55
  479.00   -5.65  189.04
  480.00   -5.62  191.49
  481.00   -5.63  190.10
  482.00   -5.53  191.45
  483.00   -5.60  189.71
  484.00   -5.68  190.52
  485.00   -5.75  191.23
  486.00   -5.74  190.42
  487.00   -5.65  191.26
  488.00   -5.64  189.88
  489.00   -5.72  189.46
  490.00   -5.63  192.03
  491.00   -5.66  191.23
  492.00   -5.62  190.71
  493.00   -5.53  189.23
  494.00   -5.75  189.20
  495.00   -5.69  190.46
  496.00   -5.76  190.23
  497.00   -5.62  190.36
  498.00   -5.63  191.07
  499.00   -5.67  190.52
  500.00   -5.78  189.91
  501.00   -5.70  187.88
  502.00   -5.57  189.88
  503.00   -5.74  189.26
  504.00   -5.68  191.74
  505.00   -5.78  190.68
  506.00   -5.70  190.46
  507.00   -5.70  189.49
  508.00   -5.64  191.00
  509.00   -5.68  191.04
  510.00   -5.64  191.36
  511.00   -5.75  190.20
  512.00   -5.65  191.52
  513.00   -5.68  189.78
  514.00   -5.74  188.68
  515.00   -5.86  190.65
  516.00   -5.66  189.97
  517.00   -5.77  189.62
  518.00   -5.71  190.00
  519.00   -5.76  191.10
  520.00   -5.73  190.65
  521.00   -5.67  189.91
  522.00   -5.70  192.61
  523.00   -5.73  190.39
  524.00   -5.59  190.84
  525.00   -5.66  190.10
  526.00   -5.62  188.30
  527.00   -5.68  189.94
  528.00   -5.61  189.97
  529.00   -5.57  189.62
  530.00   -5.78  190.26
  531.00   -5.68  189.07
  532.00   -5.70  190.29
  533.00   -5.65  189.91
  534.00   -5.73  189.39
  535.00   -5.74  190.58
  536.00   -5.67  191.29
  537.00   -5.67  190.62
  538.00   -5.71  190.17
  539.00   -5.70  189.68
  540.00   -5.58  187.81
  541.00   -5.59  188.49
  542.00   -5.72  190.46
  543.00   -5.87  189.26
  544.00   -5.70  191.52
  545.00   -5.70  188.94
  546.00   -5.68  189.94
  547.00   -5.72  190.13
  548.00   -5.72  189.84
  549.00   -5.74  189.55
  550.00   -5.71  190.10
  551.00   -5.77  189.84
  552.00   -5.78  191.61
  553.00   -5.66  189.94
  554.00   -5.60  191.10
  555.00   -5.73  189.17
  556.00   -5.59  190.20
  557.00   -5.69  188.23
  558.00   -5.75  191.45
  559.00   -5.70  188.97
  560.00   -5.70  189.39
  561.00   -5.77  188.88
  562.00   -5.64  190.52
  563.00   -5.76  189.97
  564.00   -5.56  190.10
  565.00   -5.68  189.55
  566.00   -5.68  190.29
  567.00   -5.68  188.88
  568.00   -5.58  191.13
  569.00   -5.74  190.36
  570.00   -5.56  190.68
  571.00   -5.64  190.20
  572.00   -5.72  188.68
  573.00   -5.68  188.43
  574.00   -5.69  190.68
  575.00   -5.62  189.97
  576.00   -5.65  191.10
  577.00   -5.75  190.49
  578.00   -5.55  191.74
  579.00   -5.67  191.58
  580.00   -5.51  189.26
  581.00   -5.55  191.49
  582.00   -5.72  189.13
  583.00   -5.61  191.04
  584.00   -5.61  190.58
  585.00   -5.68  189.01
  586.00   -5.63  189.46
  587.00   -5.65  191.29
  588.00   -5.75  189.30
  589.00   -5.73  188.94
  590.00   -5.67  189.42
  591.00   -5.69  191.26
  592.00   -5.61  189.59
  593.00   -5.64  189.81
  594.00   -5.66  189.23
  595.00   -5.70  189.91
  596.00   -5.58  189.71
  597.00   -5.65  189.75
  598.00   -5.52  191.32
  599.00   -5.73  188.52
  600.00   -5.66  190.29
  601.00   -5.73  188.59
  602.00   -5.74  190.17
  603.00   -5.58  189.49
  604.00   -5.67  190.29
  605.00   -5.71  190.17
  606.00   -5.75  190.29
  607.00   -5.74  190.78
  608.00   -5.75  189.81
  609.00   -5.83  190.17
  610.00   -5.74  189.55
  611.00   -5.78  189.52
  612.00   -5.73  189.75
  613.00   -5.58  189.97
  614.00   -5.72  190.71
  615.00   -5.63  190.23
  616.00   -5.69  190.97
  617.00   -5.69  187.52
  618.00   -5.72  189.97
  619.00   -5.55  189.07
  620.00   -5.61  188.85
  621.00   -5.60  189.59
  622.00   -5.74  191.20
  623.00   -5.73  189.42
  624.00   -5.66  190.58
  625.00   -5.61  189.97
  626.00   -5.70  189.71
  627.00   -5.71  191.87
  628.00   -5.64  190.97
  629.00   -5.66  190.46
  630.00   -5.74  192.13
  631.00   -5.65  190.17
  632.00   -5.59  191.49
  633.00   -5.66  188.56
  634.00   -5.68  188.91
  635.00   -5.62  189.84
  636.00   -5.65  190.20
  637.00   -5.68  190.62
  638.00   -5.82  190.39
  639.00   -5.73  190.78
  640.00   -5.74  189.36
  641.00   -5.55  191.10
  642.00   -5.57  189.75
  643.00   -5.50  190.20
  644.00   -5.68  189.55
  645.00   -5.63  190.29
  646.00   -5.75  190.52
  647.00   -5.67  189.88
  648.00   -5.72  191.84
  649.00   -5.68  192.16
  650.00   -5.56  188.81
  651.00   -5.67  190.68
  652.00   -5.64  191.90
  653.00   -5.64  190.10
  654.00   -5.75  190.78
  655.00   -5.71  188.56
  656.00   -5.62  190.65
  657.00   -5.61  191.13
  658.00   -5.56  190.00
  659.00   -5.47  189.13
  660.00   -5.68  191.45
  661.00   -5.60  189.59
  662.00   -5.58  189.33
  663.00   -5.63  189.33
  664.00   -5.62  189.46
  665.00   -5.69  191.55
  666.00   -5.63  190.39
  667.00   -5.63  188.75
  668.00   -5.55  190.81
  669.00   -5.60  191.20
  670.00   -5.61  190.33
  671.00   -5.66  189.97
  672.00   -5.64  189.26
  673.00   -5.62  189.81
  674.00   -5.57  189.39
  675.00   -5.41  190.33
  676.00   -5.61  190.68
  677.00   -5.66  190.36
  678.00   -5.63  190.52
  679.00   -5.57  191.49
  680.00   -5.60  190.87
  681.00   -5.74  189.36
  682.00   -5.63  189.97
  683.00   -5.61  190.49
  684.00   -5.63  190.52
  685.00   -5.76  189.17
  686.00   -5.74  190.97
  687.00   -5.65  190.55
  688.00   -5.59  189.94
  689.00   -5.62  189.65
  690.00   -5.65  189.71
  691.00   -5.69  191.55
  692.00   -5.76  190.42
  693.00   -5.63  190.46
  694.00   -5.63  189.49
  695.00   -5.79  189.71
  696.00   -5.64  189.52
  697.00   -5.72  190.13
  698.00   -5.64  190.68
  699.00   -5.76  189.71
  700.00   -5.68  189.07
  701.00   -5.60  190.04
  702.00   -5.72  190.33
  703.00   -5.70  190.17
  704.00   -5.76  188.91
  705.00   -5.79  190.20
  706.00   -5.68  188.68
  707.00   -5.67  189.65
  708.00   -5.74  189.68
  709.00   -5.75  190.87
  710.00   -5.66  190.55
  711.00   -5.72  190.07
  712.00   -5.60  189.94
  713.00   -5.70  188.62
  714.00   -5.74  188.91
  715.00   -5.61  189.20
  716.00   -5.72  189.52
  717.00   -5.79  190.68
  718.00   -5.59  190.33
  719.00   -5.62  189.84
  720.00   -5.65  191.26
  721.00   -5.70  189.46
  722.00   -5.77  187.91
  723.00   -5.76  190.20
  724.00   -5.62  191.52
  725.00   -5.72  190.78
  726.00   -5.60  189.62
  727.00   -5.65  189.42
  728.00   -5.68  188.85
  729.00   -5.67  189.42
  730.00   -5.72  188.72
  731.00   -5.52  189.33
  732.00   -5.74  191.16
  733.00   -5.69  188.49
  734.00   -5.58  190.84
  735.00   -5.63  190.17
  736.00   -5.64  190.10
  737.00   -5.66  190.91
  738.00   -5.63  189.97
  739.00   -5.68  191.39
  740.00   -5.67  190.13
  741.00   -5.55  189.49
  742.00   -5.61  190.10
  743.00   -5.53  192.32
  744.00   -5.75  189.62
  745.00   -5.60  190.42
  746.00   -5.57  188.81
  747.00   -5.59  189.97
  748.00   -5.67  192.03
  749.00   -5.64  189.13
  750.00   -5.53  190.49
  751.00   -5.58  189.30
  752.00   -5.63  189.71
  753.00   -5.56  190.10
  754.00   -5.58  189.62
  755.00   -5.63  190.65
  756.00   -5.64  190.62
  757.00   -5.68  189.33
  758.00   -5.62  189.49
  759.00   -5.62  189.75
  760.00   -5.55  189.75
  761.00   -5.68  188.56
  762.00   -5.54  191.39
  763.00   -5.66  190.75
  764.00   -5.64  189.26
  765.00   -5.59  190.49
  766.00   -5.61  190.29
  767.00   -5.57  190.33
  768.00   -5.72  190.55
  769.00   -5.53  189.75
  770.00   -5.75  190.75
  771.00   -5.60  191.45
  772.00   -5.73  190.49
  773.00   -5.66  190.04
  774.00   -5.77  190.42
  775.00   -5.57  189.23
  776.00   -5.71  189.71
  777.00   -5.74  189.52
  778.00   -5.71  189.91
  779.00   -5.66  188.88
  780.00   -5.74  189.01
  781.00   -5.80  190.75
  782.00   -5.69  188.88
  783.00   -5.65  189.26
  784.00   -5.70  189.84
  785.00   -5.74  189.46
  786.00   -5.60  190.75
  787.00   -5.68  189.07
  788.00   -5.67  190.58
  789.00   -5.80  190.23
  790.00   -5.71  190.75
  791.00   -5.79  190.81
  792.00   -5.67  190.26
  793.00   -5.74  189.78
  794.00   -5.62  191.58
  795.00   -5.70  188.20
  796.00   -5.69  190.68
  797.00   -5.67  189.30
  798.00   -5.60  190.17
  799.00   -5.68  190.75
  800.00   -5.75  191.29
  801.00   -5.70  189.78
  802.00   -5.67  189.39
  803.00   -5.64  189.68
  804.00   -5.65  191.04
  805.00   -5.64  191.26
  806.00   -5.61  189.23
  807.00   -5.66  189.01
  808.00   -5.53  191.23
  809.00   -5.66  192.00
  810.00   -5.60  189.39
  811.00   -5.54  189.65
  812.00   -5.67  189.10
  813.00   -5.73  189.78
  814.00   -5.73  191.39
  815.00   -5.54  187.69
  816.00   -5.66  191.07
  817.00   -5.55  190.13
  818.00   -5.75  191.65
  819.00   -5.68  189.49
  820.00   -5.73  189.84
  821.00   -5.62  190.20
  822.00   -5.66  189.62
  823.00   -5.67  190.20
  824.00   -5.64  191.23
  825.00   -5.69  190.55
  826.00   -5.52  190.26
  827.00   -5.66  189.30
  828.00   -5.55  191.71
  829.00   -5.67  191.07
  830.00   -5.68  190.26
  831.00   -5.71  189.84
  832.00   -5.49  190.04
  833.00   -5.49  189.68
  834.00   -5.49  190.23
  835.00   -5.68  190.68
  836.00   -5.61  188.17
  837.00   -5.60  188.91
  838.00   -5.59  189.62
  839.00   -5.73  189.71
  840.00   -5.55  191.36
  841.00   -5.64  191.45
  842.00   -5.59  190.55
  843.00   -5.54  188.91
  844.00   -5.57  191.55
  845.00   -5.70  190.23
  846.00   -5.70  190.26
  847.00   -5.57  189.07
  848.00   -5.67  189.49
  849.00   -5.64  189.23
  850.00   -5.66  190.23
  851.00   -5.54  190.07
  852.00   -5.63  189.36
  853.00   -5.63  191.39
  854.00   -5.72  190.65
  855.00   -5.64  190.26
  856.00   -5.63  189.78
  857.00   -5.55  190.84
  858.00   -5.66  191.52
  859.00   -5.63  190.55
  860.00   -5.67  189.68
  861.00   -5.58  190.07
  862.00   -5.61  189.62
  863.00   -5.65  189.65
  864.00   -5.66  190.42
  865.00   -5.74  189.91
  866.00   -5.68  189.84
  867.00   -5.69  188.81
  868.00   -5.63  190.13
  869.00   -5.68  190.49
  870.00   -5.73  191.49
  871.00   -5.68  187.46
  872.00   -5.68  189.94
  873.00   -5.68  189.65
  874.00   -5.72  191.07
  875.00   -5.77  190.62
  876.00   -5.58  190.94
  877.00   -5.71  189.42
  878.00   -5.62  189.13
  879.00   -5.54  189.84
  880.00   -5.70  189.97
  881.00   -5.59  192.36
  882.00   -5.70  190.13
  883.00   -5.64  188.62
  884.00   -5.69  189.07
  885.00   -5.70  188.68
  886.00   -5.66  188.36
  887.00   -5.82  190.55
  888.00   -5.51  191.39
  889.00   -5.63  189.78
  890.00   -5.62  190.10
  891.00   -5.58  191.20
  892.00   -5.70  191.04
  893.00   -5.70  190.49
  894.00   -5.81  193.55
  895.00   -5.71  189.88
  896.00   -5.58  188.81
  897.00   -5.77  189.30
  898.00   -5.67  189.71
  899.00   -5.64  189.97
  900.00   -5.68  189.68
  901.00   -5.49  192.03
  902.00   -5.66  189.13
  903.00   -5.59  191.04
  904.00   -5.79  191.00
  905.00   -5.59  190.71
  906.00   -5.68  189.84
  907.00   -5.62  190.62
  908.00   -5.67  189.46
  909.00   -5.66  189.30
  910.00   -5.65  188.59
  911.00   -5.64  190.71
  912.00   -5.62  189.81
  913.00   -5.66  190.33
  914.00   -5.63  191.45
  915.00   -5.62  188.56
  916.00   -5.73  189.78
  917.00   -5.66  191.58
  918.00   -5.71  190.65
  919.00   -5.75  189.62
  920.00   -5.63  191.74
  921.00   -5.68  190.62
  922.00   -5.65  189.04
  923.00   -5.63  191.16
  924.00   -5.74  190.26
  925.00   -5.66  187.75
  926.00   -5.69  190.62
  927.00   -5.73  192.03
  928.00   -5.64  189.71
  929.00   -5.66  189.81
  930.00   -5.79  190.33
  931.00   -5.68  189.36
  932.00   -5.70  189.01
  933.00   -5.62  190.78
  934.00   -5.68  189.42
  935.00   -5.72  191.00
  936.00   -5.73  189.88
  937.00   -5.74  189.49
  938.00   -5.74  191.23
  939.00   -5.71  190.10
  940.00   -5.62  192.26
  941.00   -5.72  189.91
  942.00   -5.65  190.23
  943.00   -5.74  190.13
  944.00   -5.72  190.58
  945.00   -5.63  190.33
  946.00   -5.52  190.39
  947.00   -5.75  190.17
  948.00   -5.69  190.10
  949.00   -5.79  188.56
  950.00   -5.62  190.97
  951.00   -5.67  190.29
  952.00   -5.66  190.58
  953.00   -5.61  189.97
  954.00   -5.64  189.39
  955.00   -5.64  189.39
  956.00   -5.63  190.49
  957.00   -5.60  189.94
  958.00   -5.57  190.94
  959.00   -5.59  190.97
  960.00   -5.57  189.13
  961.00   -5.59  190.71
  962.00   -5.52  189.91
  963.00   -5.71  189.49
  964.00   -5.57  188.88
  965.00   -5.54  191.71
  966.00   -5.69  192.00
  967.00   -5.60  188.10
  968.00   -5.61  189.26
  969.00   -5.60  189.94
  970.00   -5.66  190.75
  971.00   -5.49  189.10
  972.00   -5.60  189.62
  973.00   -5.75  189.88
  974.00   -5.62  190.42
  975.00   -5.53  189.68
  976.00   -5.60  190.71
  977.00   -5.67  190.84
  978.00   -5.60  189.49
  979.00   -5.69  190.26
  980.00   -5.72  189.62
  981.00   -5.65  189.75
  982.00   -5.57  190.20
  983.00   -5.64  191.42
  984.00   -5.77  188.91
  985.00   -5.60  190.58
  986.00   -5.72  190.75
  987.00   -5.55  190.07
  988.00   -5.68  190.13
  989.00   -5.62  190.65
  990.00   -5.74  190.58
  991.00   -5.65  188.94
  992.00   -5.56  189.04
  993.00   -5.68  189.68
  994.00   -5.61  188.78
  995.00   -5.73  189.78
  996.00   -5.61  189.30
  997.00   -5.74  190.65
  998.00   -5.61  190.07
